canonical_institution,sector,paper_count,oral_count,award_count,public_total_votes,votes_per_paper,visits_last_7_days,unique_partner_count,collaboration_pagerank,top_topic_groups,top_themes,top_clusters,top_partners
Tsinghua University,Academia,414,10,1,5541,13.38,2666,411,0.01260586,Deep Learning (153); Applications (109); Unknown (56); General Machine Learning (29); Reinforcement Learning (27),"Memorization, evaluation, and generalization (219); LLM reasoning and test-time compute (189); Theory, optimization, and sampling (179); Multimodal, vision-language, and video (161); Agents, tools, and computer use (159)",11: agent / agents / multi agent / multi (31); 20: code / anonymous / 4open science / 4open (30); 4: visual / multimodal / reasoning / vision (29),Peking University (56); Shanghai Jiao Tong University (40); Alibaba (37); Zhejiang University (33); Chinese Academy of Sciences (29); ByteDance (27); University of Science and Technology of China (27); The Chinese University of Hong Kong (24)
Peking University,Academia,323,7,0,4769,14.76,1852,367,0.01084408,Deep Learning (109); Applications (103); Unknown (36); General Machine Learning (20); Social Aspects (17),"Memorization, evaluation, and generalization (183); LLM reasoning and test-time compute (169); Agents, tools, and computer use (147); Theory, optimization, and sampling (139); Multimodal, vision-language, and video (131)",11: agent / agents / multi agent / multi (34); 0: video / video generation / videos / temporal (24); 20: code / anonymous / 4open science / 4open (24),Tsinghua University (56); Chinese Academy of Sciences (33); Shanghai Jiao Tong University (29); Hong Kong University of Science and Technology (26); Zhejiang University (26); ByteDance (25); University of Science and Technology of China (25); Tencent (23)
Zhejiang University,Academia,295,5,0,3967,13.45,1431,309,0.00862256,Deep Learning (117); Applications (78); Social Aspects (28); Unknown (26); General Machine Learning (17),"Memorization, evaluation, and generalization (150); LLM reasoning and test-time compute (141); Systems, efficiency, and compression (137); Multimodal, vision-language, and video (133); Theory, optimization, and sampling (127)",4: visual / multimodal / reasoning / vision (25); 6: reasoning / reinforcement / rl / reinforcement learning (25); 0: video / video generation / videos / temporal (21),Alibaba (46); Tsinghua University (33); Peking University (26); The Chinese University of Hong Kong (25); Shanghai Jiao Tong University (24); Fudan University (22); Hong Kong University of Science and Technology (22); National University of Singapore (21)
Shanghai Jiao Tong University,Academia,282,10,0,3534,12.53,1420,313,0.00879701,Applications (110); Deep Learning (94); Unknown (20); Social Aspects (16); General Machine Learning (14),"Memorization, evaluation, and generalization (151); LLM reasoning and test-time compute (130); Multimodal, vision-language, and video (129); Systems, efficiency, and compression (119); Theory, optimization, and sampling (117)",4: visual / multimodal / reasoning / vision (33); 21: quantization / kv / memory / cache (22); 0: video / video generation / videos / temporal (19),Shanghai AI Laboratory (46); Tsinghua University (40); Fudan University (38); Peking University (29); The Chinese University of Hong Kong (27); Alibaba (25); Zhejiang University (24); University of Science and Technology of China (21)
Hong Kong University of Science and Technology,Academia,254,6,0,3758,14.8,1210,324,0.00842038,Deep Learning (100); Applications (59); Unknown (35); General Machine Learning (23); Social Aspects (17),"Memorization, evaluation, and generalization (131); LLM reasoning and test-time compute (127); Theory, optimization, and sampling (111); Multimodal, vision-language, and video (105); Agents, tools, and computer use (101)",11: agent / agents / multi agent / multi (22); 6: reasoning / reinforcement / rl / reinforcement learning (21); 4: visual / multimodal / reasoning / vision (19),The Chinese University of Hong Kong (47); Peking University (26); Tsinghua University (22); Zhejiang University (22); ByteDance (21); Alibaba (19); University of Hong Kong (19); University of Science and Technology of China (17)
Chinese Academy of Sciences,Research institute,254,5,0,1818,7.16,882,262,0.00764288,Deep Learning (85); Applications (77); Unknown (30); Social Aspects (21); General Machine Learning (20),"Memorization, evaluation, and generalization (142); LLM reasoning and test-time compute (116); Multimodal, vision-language, and video (113); Theory, optimization, and sampling (105); Systems, efficiency, and compression (104)",4: visual / multimodal / reasoning / vision (23); 20: code / anonymous / 4open science / 4open (18); 25: cross / semantic / label / extensive (17),"University of Chinese Academy of Sciences (91); Peking University (33); Tsinghua University (29); Alibaba (20); University of Science and Technology of China (19); National University of Singapore (17); Zhejiang University (17); Institute of automation, Chinese academy of science (16)"
The Chinese University of Hong Kong,Academia,235,7,0,3043,12.95,1065,293,0.00831458,Deep Learning (85); Applications (67); Unknown (30); Reinforcement Learning (15); Social Aspects (11),"Memorization, evaluation, and generalization (134); Theory, optimization, and sampling (116); LLM reasoning and test-time compute (115); Multimodal, vision-language, and video (98); Agents, tools, and computer use (96)",6: reasoning / reinforcement / rl / reinforcement learning (26); 3: diffusion / generative / diffusion models / generative models (21); 4: visual / multimodal / reasoning / vision (18),Hong Kong University of Science and Technology (47); Shanghai AI Laboratory (27); Shanghai Jiao Tong University (27); Zhejiang University (25); Tsinghua University (24); Fudan University (21); Peking University (21); Huawei (19)
National University of Singapore,Academia,228,6,0,2936,12.88,1163,297,0.00736691,Deep Learning (75); Applications (57); Unknown (34); Social Aspects (26); Reinforcement Learning (13),"Memorization, evaluation, and generalization (116); LLM reasoning and test-time compute (104); Safety, alignment, governance, and risk (97); Multimodal, vision-language, and video (90); Theory, optimization, and sampling (85)",1: language / language models / llms / large language (16); 3: diffusion / generative / diffusion models / generative models (15); 9: theory / algorithm / optimal / regret (13),Nanyang Technological University (29); University of Science and Technology of China (22); Zhejiang University (21); Tsinghua University (20); Peking University (20); The Chinese University of Hong Kong (19); Shanghai Jiao Tong University (17); Chinese Academy of Sciences (17)
MIT,Academia,216,9,2,5891,27.27,2625,304,0.0067312,Deep Learning (86); Applications (28); General Machine Learning (27); Social Aspects (24); Unknown (20),"Memorization, evaluation, and generalization (109); Theory, optimization, and sampling (108); LLM reasoning and test-time compute (86); Agents, tools, and computer use (80); Safety, alignment, governance, and risk (77)",17: representation / machine learning / machine / general (20); 28: position / ai / position paper / argues (18); 1: language / language models / llms / large language (16),Harvard University (24); Tsinghua University (14); Stanford University (14); UC Berkeley (13); Carnegie Mellon University (12); Google DeepMind (10); Georgia Tech (10); Meta (10)
University of Science and Technology of China,Academia,213,7,0,1846,8.67,737,220,0.00622646,Deep Learning (71); Applications (53); Unknown (39); Social Aspects (25); General Machine Learning (15),"Memorization, evaluation, and generalization (127); LLM reasoning and test-time compute (105); Multimodal, vision-language, and video (96); Safety, alignment, governance, and risk (91); Theory, optimization, and sampling (85)",6: reasoning / reinforcement / rl / reinforcement learning (22); 4: visual / multimodal / reasoning / vision (21); 1: language / language models / llms / large language (13),Tsinghua University (27); Peking University (25); Alibaba (24); National University of Singapore (22); Shanghai AI Laboratory (21); Shanghai Jiao Tong University (21); Chinese Academy of Sciences (19); Hong Kong University of Science and Technology (17)
Nanyang Technological University,Academia,209,3,0,2659,12.72,1128,324,0.00775715,Deep Learning (82); Applications (52); Social Aspects (22); Unknown (15); General Machine Learning (14),"Memorization, evaluation, and generalization (101); LLM reasoning and test-time compute (97); Theory, optimization, and sampling (96); Safety, alignment, governance, and risk (95); Agents, tools, and computer use (92)",2: attacks / attack / safety / adversarial (19); 4: visual / multimodal / reasoning / vision (17); 10: 3d / vision / applications computer / computer vision (15),National University of Singapore (29); Tsinghua University (21); Zhejiang University (18); Peking University (16); Alibaba (16); Hong Kong University of Science and Technology (13); The Chinese University of Hong Kong (13); ByteDance (12)
Fudan University,Academia,202,5,0,2768,13.7,874,251,0.00652226,Deep Learning (71); Applications (60); Social Aspects (21); Unknown (20); General Machine Learning (13),"Memorization, evaluation, and generalization (112); LLM reasoning and test-time compute (104); Agents, tools, and computer use (92); Multimodal, vision-language, and video (88); RL for LLMs and verifiable rewards (75)",4: visual / multimodal / reasoning / vision (25); 11: agent / agents / multi agent / multi (21); 10: 3d / vision / applications computer / computer vision (13),Shanghai Jiao Tong University (38); Shanghai AI Laboratory (30); Zhejiang University (22); The Chinese University of Hong Kong (21); Tsinghua University (21); Alibaba (19); Tencent (17); Peking University (15)
Alibaba,Industry,200,6,1,2886,14.43,1603,246,0.00674177,Deep Learning (99); Applications (54); Unknown (18); Social Aspects (13); Reinforcement Learning (6),"LLM reasoning and test-time compute (118); Memorization, evaluation, and generalization (117); Agents, tools, and computer use (94); Multimodal, vision-language, and video (92); RL for LLMs and verifiable rewards (88)",4: visual / multimodal / reasoning / vision (31); 6: reasoning / reinforcement / rl / reinforcement learning (30); 11: agent / agents / multi agent / multi (17),Zhejiang University (46); Tsinghua University (37); Shanghai Jiao Tong University (25); University of Science and Technology of China (24); Peking University (22); Chinese Academy of Sciences (20); Fudan University (19); Hong Kong University of Science and Technology (19)
Carnegie Mellon University,Academia,197,7,0,4702,23.87,1612,265,0.00652638,Deep Learning (63); Applications (29); Unknown (26); General Machine Learning (25); Social Aspects (22),"Memorization, evaluation, and generalization (94); LLM reasoning and test-time compute (88); Theory, optimization, and sampling (87); Agents, tools, and computer use (82); Safety, alignment, governance, and risk (75)",11: agent / agents / multi agent / multi (24); 28: position / ai / position paper / argues (18); 6: reasoning / reinforcement / rl / reinforcement learning (18),UC Berkeley (20); Stanford University (16); Google (13); MIT (12); Meta (12); University of Washington (10); Tsinghua University (8); Cornell University (8)
Google,Industry,185,5,0,3235,17.49,1114,260,0.00602288,Deep Learning (64); Applications (26); Theory (24); Social Aspects (22); General Machine Learning (18),"Memorization, evaluation, and generalization (95); Theory, optimization, and sampling (88); LLM reasoning and test-time compute (83); Agents, tools, and computer use (75); Safety, alignment, governance, and risk (60)",1: language / language models / llms / large language (21); 9: theory / algorithm / optimal / regret (19); 11: agent / agents / multi agent / multi (14),Google DeepMind (39); Carnegie Mellon University (13); UC Berkeley (13); Stanford University (12); Meta (11); Harvard University (10); Microsoft (10); MIT (9)
University of Hong Kong,Academia,179,3,0,2808,15.69,1315,286,0.00645597,Deep Learning (60); Applications (42); Unknown (20); General Machine Learning (18); Social Aspects (11),"Memorization, evaluation, and generalization (95); LLM reasoning and test-time compute (89); Theory, optimization, and sampling (85); Multimodal, vision-language, and video (74); Systems, efficiency, and compression (71)",6: reasoning / reinforcement / rl / reinforcement learning (15); 0: video / video generation / videos / temporal (13); 3: diffusion / generative / diffusion models / generative models (13),ByteDance (19); Hong Kong University of Science and Technology (19); Zhejiang University (18); The Chinese University of Hong Kong (17); Peking University (16); Chinese Academy of Sciences (14); Alibaba (14); Shanghai Jiao Tong University (14)
Stanford University,Academia,176,8,0,5475,31.11,2023,264,0.00663029,Deep Learning (54); Unknown (29); Applications (27); General Machine Learning (24); Social Aspects (18),"Memorization, evaluation, and generalization (83); LLM reasoning and test-time compute (71); Agents, tools, and computer use (71); Theory, optimization, and sampling (70); RL for LLMs and verifiable rewards (58)",28: position / ai / position paper / argues (18); 11: agent / agents / multi agent / multi (18); 17: representation / machine learning / machine / general (16),UC Berkeley (19); Carnegie Mellon University (16); University of Washington (16); NVIDIA (14); MIT (14); Google (12); Tsinghua University (11); Meta (11)
UC Berkeley,Academia,165,8,0,3646,22.1,1529,271,0.00636755,Deep Learning (45); Social Aspects (25); Applications (24); General Machine Learning (18); Unknown (17),"Memorization, evaluation, and generalization (83); Theory, optimization, and sampling (81); Safety, alignment, governance, and risk (70); LLM reasoning and test-time compute (69); RL for LLMs and verifiable rewards (61)",1: language / language models / llms / large language (16); 11: agent / agents / multi agent / multi (16); 17: representation / machine learning / machine / general (14),Carnegie Mellon University (20); Stanford University (19); MIT (13); Google (13); Princeton University (12); University of Washington (11); Tsinghua University (10); Meta (9)
Microsoft,Industry,160,7,0,3786,23.66,1518,294,0.00600791,Deep Learning (70); Applications (30); Social Aspects (17); General Machine Learning (16); Unknown (9),"LLM reasoning and test-time compute (85); Memorization, evaluation, and generalization (84); Agents, tools, and computer use (70); RL for LLMs and verifiable rewards (62); Theory, optimization, and sampling (60)",1: language / language models / llms / large language (20); 11: agent / agents / multi agent / multi (18); 20: code / anonymous / 4open science / 4open (11),Tsinghua University (16); Peking University (11); Google (10); Stanford University (10); Shanghai Jiao Tong University (10); MIT (9); Hong Kong University of Science and Technology (8); Fudan University (8)
ByteDance,Industry,155,4,0,4643,29.95,1393,245,0.00610894,Deep Learning (73); Applications (39); Unknown (21); General Machine Learning (9); Reinforcement Learning (7),"LLM reasoning and test-time compute (97); Memorization, evaluation, and generalization (91); Systems, efficiency, and compression (74); RL for LLMs and verifiable rewards (68); Multimodal, vision-language, and video (63)",0: video / video generation / videos / temporal (19); 4: visual / multimodal / reasoning / vision (18); 6: reasoning / reinforcement / rl / reinforcement learning (17),Tsinghua University (27); Peking University (25); Hong Kong University of Science and Technology (21); The Chinese University of Hong Kong (19); University of Hong Kong (19); Zhejiang University (15); Chinese Academy of Sciences (15); Alibaba (14)
Nanjing University,Academia,154,3,0,1396,9.06,729,189,0.00454566,Deep Learning (52); Applications (36); Unknown (21); Reinforcement Learning (15); General Machine Learning (14),"Memorization, evaluation, and generalization (81); Multimodal, vision-language, and video (75); Systems, efficiency, and compression (69); Theory, optimization, and sampling (64); LLM reasoning and test-time compute (59)",4: visual / multimodal / reasoning / vision (22); 11: agent / agents / multi agent / multi (13); 19: action / vla / language action / vision language (12),Peking University (17); Zhejiang University (16); Shanghai AI Laboratory (15); Chinese Academy of Sciences (14); Shanghai Jiao Tong University (14); The Chinese University of Hong Kong (14); Hong Kong University of Science and Technology (14); Fudan University (13)
University of Chinese Academy of Sciences,Academia,140,4,0,1155,8.25,459,196,0.00471074,Deep Learning (48); Applications (47); Unknown (17); Social Aspects (11); General Machine Learning (10),"Memorization, evaluation, and generalization (83); LLM reasoning and test-time compute (67); Multimodal, vision-language, and video (65); Agents, tools, and computer use (61); Safety, alignment, governance, and risk (58)",4: visual / multimodal / reasoning / vision (14); 21: quantization / kv / memory / cache (10); 0: video / video generation / videos / temporal (10),Chinese Academy of Sciences (91); Tsinghua University (19); Peking University (18); University of Hong Kong (13); Alibaba (13); The Chinese University of Hong Kong (10); National University of Singapore (9); Zhejiang University (9)
University of Oxford,Academia,138,8,0,3187,23.09,1218,323,0.00621923,Deep Learning (40); Social Aspects (25); Applications (22); Unknown (18); Probabilistic Methods (14),"Memorization, evaluation, and generalization (66); Safety, alignment, governance, and risk (65); Theory, optimization, and sampling (64); Agents, tools, and computer use (58); LLM reasoning and test-time compute (57)",11: agent / agents / multi agent / multi (14); 28: position / ai / position paper / argues (12); 1: language / language models / llms / large language (12),Harvard University (13); Google DeepMind (12); Tsinghua University (9); Stanford University (7); Peking University (7); University College London (7); Microsoft (7); Max Planck / ELLIS (7)
Meta,Industry,133,4,1,4755,35.75,2270,247,0.00541432,Deep Learning (52); Applications (21); Unknown (16); Social Aspects (13); General Machine Learning (8),"Memorization, evaluation, and generalization (66); LLM reasoning and test-time compute (60); Theory, optimization, and sampling (54); RL for LLMs and verifiable rewards (45); Agents, tools, and computer use (41)",6: reasoning / reinforcement / rl / reinforcement learning (12); 11: agent / agents / multi agent / multi (11); 17: representation / machine learning / machine / general (9),University of Washington (12); Carnegie Mellon University (12); Stanford University (11); Google (11); MIT (10); Google DeepMind (10); UC Berkeley (9); Amazon (8)
Google DeepMind,Industry,131,7,2,4707,35.93,1662,236,0.00504808,Deep Learning (42); Social Aspects (24); General Machine Learning (17); Unknown (13); Applications (13),"Memorization, evaluation, and generalization (59); LLM reasoning and test-time compute (58); Agents, tools, and computer use (53); Safety, alignment, governance, and risk (51); Theory, optimization, and sampling (49)",1: language / language models / llms / large language (12); 7: reinforcement learning / reinforcement / policy / rl (11); 17: representation / machine learning / machine / general (11),Google (39); University of Oxford (12); MIT (10); Stanford University (10); Meta (10); University of Texas at Austin (8); UC Berkeley (8); Mila (7)
KAIST,Academia,122,5,0,1592,13.05,864,110,0.00277418,Deep Learning (53); Applications (27); Reinforcement Learning (9); Social Aspects (8); General Machine Learning (7),"Memorization, evaluation, and generalization (66); Theory, optimization, and sampling (57); Multimodal, vision-language, and video (44); Diffusion, flow, and generative modeling (41); Safety, alignment, governance, and risk (41)",3: diffusion / generative / diffusion models / generative models (16); 12: tuning / fine tuning / fine / lora (9); 17: representation / machine learning / machine / general (8),Seoul National University (10); University of Washington (7); University of Toronto (6); Korea University (6); NVIDIA (5); Stanford University (4); Mila (4); University of Tübingen (4)
Harvard University,Academia,119,5,1,1188,9.98,560,209,0.00427036,Deep Learning (34); Applications (19); Social Aspects (18); Unknown (15); General Machine Learning (12),"Memorization, evaluation, and generalization (70); Theory, optimization, and sampling (55); Safety, alignment, governance, and risk (46); LLM reasoning and test-time compute (38); Agents, tools, and computer use (38)",9: theory / algorithm / optimal / regret (11); 17: representation / machine learning / machine / general (9); 7: reinforcement learning / reinforcement / policy / rl (8),MIT (24); University of Oxford (13); Google (10); Stanford University (10); Carnegie Mellon University (8); Northeastern University (8); Microsoft (7); Columbia University (6)
Huawei,Industry,119,4,0,1208,10.15,578,159,0.00340308,Deep Learning (60); Applications (20); Unknown (14); Social Aspects (11); General Machine Learning (4),"LLM reasoning and test-time compute (73); Systems, efficiency, and compression (60); Memorization, evaluation, and generalization (56); Theory, optimization, and sampling (55); RL for LLMs and verifiable rewards (40)",6: reasoning / reinforcement / rl / reinforcement learning (17); 21: quantization / kv / memory / cache (16); 3: diffusion / generative / diffusion models / generative models (8),The Chinese University of Hong Kong (19); Hong Kong University of Science and Technology (13); University of Hong Kong (12); University of Science and Technology of China (10); Peking University (9); Shanghai Jiao Tong University (9); Tsinghua University (8); National University of Singapore (7)
Tencent,Industry,118,3,0,1493,12.65,515,168,0.00410472,Deep Learning (46); Applications (37); Unknown (19); Social Aspects (8); Reinforcement Learning (5),"Memorization, evaluation, and generalization (67); Multimodal, vision-language, and video (61); LLM reasoning and test-time compute (52); RL for LLMs and verifiable rewards (51); Theory, optimization, and sampling (50)",4: visual / multimodal / reasoning / vision (14); 6: reasoning / reinforcement / rl / reinforcement learning (13); 0: video / video generation / videos / temporal (12),Peking University (23); Zhejiang University (21); The Chinese University of Hong Kong (19); Tsinghua University (19); Shanghai Jiao Tong University (18); Fudan University (17); Hong Kong University of Science and Technology (15); National University of Singapore (13)
University of Illinois Urbana-Champaign,Academia,115,7,0,3817,33.19,1272,225,0.00421163,Deep Learning (49); Social Aspects (16); General Machine Learning (16); Applications (13); Unknown (10),"Memorization, evaluation, and generalization (63); LLM reasoning and test-time compute (62); Agents, tools, and computer use (49); Theory, optimization, and sampling (47); Systems, efficiency, and compression (44)",11: agent / agents / multi agent / multi (19); 1: language / language models / llms / large language (10); 6: reasoning / reinforcement / rl / reinforcement learning (9),Georgia Tech (9); Princeton University (9); Amazon (9); Tsinghua University (8); Carnegie Mellon University (8); Stanford University (8); Meta (7); Google (7)
ETH Zurich,Academia,109,2,0,2443,22.41,1072,203,0.00409856,Deep Learning (34); Applications (22); General Machine Learning (19); Social Aspects (11); Theory (7),"Memorization, evaluation, and generalization (60); Theory, optimization, and sampling (42); LLM reasoning and test-time compute (37); Safety, alignment, governance, and risk (35); Agents, tools, and computer use (35)",1: language / language models / llms / large language (7); 11: agent / agents / multi agent / multi (7); 28: position / ai / position paper / argues (6),Stanford University (7); MIT (6); Max Planck / ELLIS (6); Google (6); Carnegie Mellon University (5); University of Toronto (5); University of Cambridge (5); Hong Kong University of Science and Technology (5)
Shanghai AI Laboratory,Research institute,108,3,0,1629,15.08,599,141,0.00420063,Applications (41); Deep Learning (32); Unknown (16); Social Aspects (12); Reinforcement Learning (4),"Memorization, evaluation, and generalization (67); LLM reasoning and test-time compute (61); Multimodal, vision-language, and video (56); RL for LLMs and verifiable rewards (49); Agents, tools, and computer use (48)",4: visual / multimodal / reasoning / vision (18); 11: agent / agents / multi agent / multi (11); 15: physics / chemistry / earth / applications chemistry (9),Shanghai Jiao Tong University (46); Fudan University (30); The Chinese University of Hong Kong (27); University of Science and Technology of China (21); Tsinghua University (21); Peking University (19); Zhejiang University (17); Nanjing University (15)
Beihang University,Academia,106,3,0,1079,10.18,386,152,0.00326406,Deep Learning (53); Applications (22); Reinforcement Learning (7); Unknown (7); General Machine Learning (7),"Memorization, evaluation, and generalization (56); Theory, optimization, and sampling (51); LLM reasoning and test-time compute (48); Multimodal, vision-language, and video (45); Agents, tools, and computer use (41)",6: reasoning / reinforcement / rl / reinforcement learning (10); 4: visual / multimodal / reasoning / vision (8); 11: agent / agents / multi agent / multi (8),Tsinghua University (19); Alibaba (14); Zhejiang University (10); ByteDance (10); Chinese Academy of Sciences (10); The Chinese University of Hong Kong (9); Nanyang Technological University (8); Peking University (8)
Amazon,Industry,103,5,0,973,9.45,371,206,0.0039704,Deep Learning (39); Applications (16); Unknown (15); Social Aspects (12); General Machine Learning (8),"LLM reasoning and test-time compute (55); Theory, optimization, and sampling (45); Memorization, evaluation, and generalization (42); Agents, tools, and computer use (40); Systems, efficiency, and compression (37)",1: language / language models / llms / large language (10); 6: reasoning / reinforcement / rl / reinforcement learning (9); 17: representation / machine learning / machine / general (8),University of Illinois Urbana-Champaign (9); Stanford University (8); Meta (8); Carnegie Mellon University (7); Shanghai Jiao Tong University (6); Hong Kong University of Science and Technology (5); University of Michigan (5); Georgia Tech (5)
University of Cambridge,Academia,100,5,0,900,9.0,493,211,0.0039758,Deep Learning (33); Applications (25); General Machine Learning (8); Unknown (7); Social Aspects (7),"Theory, optimization, and sampling (52); Memorization, evaluation, and generalization (50); Systems, efficiency, and compression (35); Safety, alignment, governance, and risk (33); Multimodal, vision-language, and video (32)",17: representation / machine learning / machine / general (11); 1: language / language models / llms / large language (9); 3: diffusion / generative / diffusion models / generative models (9),Shanghai Jiao Tong University (8); Google (7); Tsinghua University (6); ETH Zurich (5); The Chinese University of Hong Kong (5); University of Hong Kong (5); Google DeepMind (5); University of Oxford (5)
Harbin Institute of Technology,Academia,99,4,0,822,8.3,420,143,0.0031141,Applications (35); Deep Learning (29); General Machine Learning (12); Unknown (12); Social Aspects (10),"Memorization, evaluation, and generalization (58); Safety, alignment, governance, and risk (46); LLM reasoning and test-time compute (45); Agents, tools, and computer use (42); Multimodal, vision-language, and video (41)",4: visual / multimodal / reasoning / vision (10); 25: cross / semantic / label / extensive (10); 11: agent / agents / multi agent / multi (10),"Harbin Institute of Technology (Shenzhen) (26); Harbin Institute of Technology, Shenzhen (23); Tsinghua University (14); Peking University (8); Pengcheng Laboratory (7); Tencent (7); University of Hong Kong (6); Nanyang Technological University (6)"
Georgia Tech,Academia,98,1,0,1099,11.21,403,170,0.00331187,Deep Learning (36); Applications (22); General Machine Learning (11); Unknown (7); Reinforcement Learning (7),"Theory, optimization, and sampling (54); Memorization, evaluation, and generalization (50); LLM reasoning and test-time compute (44); Systems, efficiency, and compression (40); RL for LLMs and verifiable rewards (37)",11: agent / agents / multi agent / multi (12); 3: diffusion / generative / diffusion models / generative models (10); 6: reasoning / reinforcement / rl / reinforcement learning (7),MIT (10); University of Illinois Urbana-Champaign (9); Stanford University (9); UC Berkeley (8); Carnegie Mellon University (7); University of Texas at Austin (6); Microsoft (6); Amazon (5)
University of Electronic Science and Technology of China,Academia,91,3,0,485,5.33,333,147,0.00309585,Applications (35); Deep Learning (29); Social Aspects (9); General Machine Learning (7); Unknown (6),"Memorization, evaluation, and generalization (59); Multimodal, vision-language, and video (45); Agents, tools, and computer use (43); LLM reasoning and test-time compute (41); Safety, alignment, governance, and risk (40)",25: cross / semantic / label / extensive (14); 4: visual / multimodal / reasoning / vision (8); 11: agent / agents / multi agent / multi (7),Tsinghua University (11); Zhejiang University (11); Nanyang Technological University (10); Peking University (10); National University of Singapore (10); Alibaba (8); University of Science and Technology of China (8); The Chinese University of Hong Kong (7)
Princeton University,Academia,82,5,1,2161,26.35,960,204,0.0037722,Deep Learning (31); Applications (10); General Machine Learning (10); Unknown (9); Theory (7),"Agents, tools, and computer use (42); Theory, optimization, and sampling (38); LLM reasoning and test-time compute (37); Memorization, evaluation, and generalization (37); RL for LLMs and verifiable rewards (27)",11: agent / agents / multi agent / multi (16); 9: theory / algorithm / optimal / regret (8); 3: diffusion / generative / diffusion models / generative models (6),UC Berkeley (12); Stanford University (10); MIT (9); University of Illinois Urbana-Champaign (9); Tsinghua University (9); Carnegie Mellon University (7); Google (7); ByteDance (6)
University of Washington,Academia,77,4,0,2758,35.82,854,118,0.00257951,Deep Learning (33); Applications (12); Unknown (9); Social Aspects (8); General Machine Learning (7),"LLM reasoning and test-time compute (36); Memorization, evaluation, and generalization (35); RL for LLMs and verifiable rewards (33); Theory, optimization, and sampling (31); Agents, tools, and computer use (29)",6: reasoning / reinforcement / rl / reinforcement learning (10); 1: language / language models / llms / large language (7); 28: position / ai / position paper / argues (5),Stanford University (16); Meta (12); UC Berkeley (11); Carnegie Mellon University (10); KAIST (7); Allen Institute for AI (7); MIT (6); NVIDIA (6)
Huazhong University of Science and Technology,Academia,77,2,0,646,8.39,237,123,0.00238185,Deep Learning (28); Applications (15); General Machine Learning (14); Unknown (9); Social Aspects (8),"Memorization, evaluation, and generalization (40); LLM reasoning and test-time compute (38); Multimodal, vision-language, and video (38); Systems, efficiency, and compression (36); Agents, tools, and computer use (35)",4: visual / multimodal / reasoning / vision (11); 25: cross / semantic / label / extensive (9); 20: code / anonymous / 4open science / 4open (8),Hong Kong University of Science and Technology (11); Alibaba (8); Tsinghua University (8); Shanghai Jiao Tong University (7); Huawei (6); Peking University (6); Nanyang Technological University (5); University of Hong Kong (5)
Mila,Research institute,76,3,0,1117,14.7,590,154,0.00322024,Applications (15); Deep Learning (14); Social Aspects (13); Reinforcement Learning (12); Unknown (6),"Theory, optimization, and sampling (35); Memorization, evaluation, and generalization (32); Agents, tools, and computer use (32); Safety, alignment, governance, and risk (30); RL for LLMs and verifiable rewards (28)",7: reinforcement learning / reinforcement / policy / rl (12); 28: position / ai / position paper / argues (6); 17: representation / machine learning / machine / general (6),Université de Montréal (13); McGill University (12); Google DeepMind (7); University of Oxford (6); UC Berkeley (5); Microsoft (4); ServiceNow Research (4); KAIST (4)
NVIDIA,Industry,75,3,1,5065,67.53,1931,126,0.00266528,Deep Learning (32); Applications (20); Unknown (12); Social Aspects (3); Optimization (3),"Memorization, evaluation, and generalization (38); Systems, efficiency, and compression (36); LLM reasoning and test-time compute (35); Agents, tools, and computer use (30); RL for LLMs and verifiable rewards (28)",21: quantization / kv / memory / cache (11); 0: video / video generation / videos / temporal (7); 3: diffusion / generative / diffusion models / generative models (7),Stanford University (14); University of Toronto (9); UC Berkeley (8); University of Hong Kong (7); University of Washington (6); Hong Kong University of Science and Technology (6); California Institute of Technology (5); Cornell University (5)
New York University,Academia,75,1,0,1507,20.09,562,151,0.00275459,Deep Learning (24); Applications (18); Unknown (9); General Machine Learning (9); Reinforcement Learning (6),"Theory, optimization, and sampling (36); Memorization, evaluation, and generalization (32); LLM reasoning and test-time compute (29); Agents, tools, and computer use (26); Systems, efficiency, and compression (24)",1: language / language models / llms / large language (7); 15: physics / chemistry / earth / applications chemistry (7); 17: representation / machine learning / machine / general (7),UC Berkeley (9); NYU (7); Columbia University (6); Stanford University (6); Tsinghua University (6); Meta (6); Princeton University (5); University of Washington (4)
"University of California, San Diego",Academia,73,4,0,2000,27.4,1136,160,0.00302493,Deep Learning (23); Unknown (14); Applications (10); Social Aspects (7); General Machine Learning (7),"Memorization, evaluation, and generalization (36); Agents, tools, and computer use (35); Theory, optimization, and sampling (34); LLM reasoning and test-time compute (34); RL for LLMs and verifiable rewards (25)",11: agent / agents / multi agent / multi (9); 21: quantization / kv / memory / cache (7); 9: theory / algorithm / optimal / regret (5),Stanford University (9); UC San Diego (9); UCSD (8); University of California San Diego (6); Carnegie Mellon University (6); UC Berkeley (6); University of Washington (5); Meta (5)
